speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
utrerana	español	L1	0.67	0.010000000000000009	2.0	to_L2
wildan1	English - USA	L1	0.71	0.0	1.0	to_L1
wildan1	English - USA	L1	0.77	0.0	1.0	to_L2
sound shift	English - England	L1	0.68	0.0	1.0	to_L1
sound shift	English - England	L1	0.6156250000000002	0.013940668488391286	32.0	to_L2
Lusios	french	L1	0.76	0.0	1.0	to_L1
Lusios	french	L1	0.7366666666666667	0.017638342073763955	3.0	to_L2
betikote	Español - España	L1	0.74	0.0	1.0	to_L1
betikote	Español - España	L1	0.5833333333333334	0.03527668414752788	3.0	to_L2
Tazzler	American English	L1	0.75	0.0	1.0	to_L1
Tazzler	American English	L1	0.69	0.016482313753434823	16.0	to_L2
elroy	US English/Palestinian Arabic bilingual	L1	0.73	0.0	1.0	to_L1
elroy	US English/Palestinian Arabic bilingual	L1	0.6247368421052633	0.02454698825099571	19.0	to_L2
cropje_jnr	English - Australia	L1	0.6900000000000001	0.04813176359397885	4.0	to_L1
cropje_jnr	English - Australia	L1	0.6801785714285716	0.009419829428200955	56.0	to_L2
PhilFrEn	français - France	L1	0.64	0.0	1.0	to_L1
PhilFrEn	français - France	L1	0.754	0.023790754506740657	5.0	to_L2
emma42	British English	L1	0.75	0.0	1.0	to_L1
emma42	British English	L1	0.6642857142857144	0.019254825351576882	7.0	to_L2
Arrius	English, UK	L1	0.745	0.015000000000000012	2.0	to_L1
Arrius	English, UK	L1	0.7442857142857143	0.015562032988922087	7.0	to_L2
Zampaglione	Français	L1	0.67	0.0	1.0	to_L1
Zampaglione	Français	L1	0.6716666666666667	0.04222295321004653	6.0	to_L2
benjbenj	french - France	L1	0.6950000000000001	0.014999999999999958	2.0	to_L1
benjbenj	french - France	L1	0.635	0.0050000000000000044	2.0	to_L2
Glasguensis	English - Scotland	L1	0.6	0.0	1.0	to_L1
Glasguensis	English - Scotland	L1	0.6369642857142858	0.009639339185119927	56.0	to_L2
pickarooney	English (Ireland)	L1	0.76	0.0	1.0	to_L1
pickarooney	English (Ireland)	L1	0.6957142857142857	0.0197432499444075	7.0	to_L2
Namarne	Spanish	L2	0.6907142857142857	0.013838912352021154	28.0	to_L1
Namarne	Spanish	L2	0.6908943089430896	0.0061933915179826415	123.0	to_L2
Tim~!	UK — English	L1	0.73	0.0	1.0	to_L1
Tim~!	UK — English	L1	0.71	0.03999999999999998	2.0	to_L2
skop	français — France	L1	0.75	0.0	1.0	to_L1
skop	français — France	L1	0.7050000000000001	0.06499999999999999	2.0	to_L2
mplsray	English, USA	L1	0.67	0.010000000000000009	2.0	to_L1
mplsray	English, USA	L1	0.6468	0.011205950800058569	25.0	to_L2
rocstar	México - Español-	L2	0.72	0.0	1.0	to_L1
rocstar	México - Español-	L2	0.29	0.0	1.0	to_L2
Destilleuls	french	L1	0.69	0.0	1.0	to_L1
Destilleuls	french	L1	0.76	0.0	1.0	to_L2
Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	0.6699999999999999	0.020816659994661323	3.0	to_L1
Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	0.6712499999999999	0.01986000107898141	8.0	to_L2
Miguelillo 87	México español	L2	0.6699999999999999	0.07	2.0	to_L1
Miguelillo 87	México español	L2	0.73	0.01527525231651948	3.0	to_L2
marcoszorrilla	Español - España	L2	0.75	0.0	1.0	to_L1
marcoszorrilla	Español - España	L2	0.725	0.03329164059239697	4.0	to_L2
Embonpoint	English--American	L1	0.7166666666666667	0.012018504251546642	3.0	to_L1
Embonpoint	English--American	L1	0.6628947368421054	0.011420501982779429	38.0	to_L2
Avignonais	USA, Anglophone	L2	0.6	0.0	1.0	to_L1
Avignonais	USA, Anglophone	L2	0.695	0.03403429642777023	4.0	to_L2
enoo	French - France	L1	0.75	0.0	1.0	to_L1
enoo	French - France	L1	0.665	0.024999999999999963	2.0	to_L2
sumelic	English - California	L1	0.685	0.03499999999999997	2.0	to_L1
sumelic	English - California	L1	0.672	0.025961509971494334	5.0	to_L2
veggie21	English England	L1	0.56	0.0	1.0	to_L1
veggie21	English England	L1	0.68	0.0	1.0	to_L2
Meyer Wolfsheim	English	L1	0.66	0.0	1.0	to_L1
Meyer Wolfsheim	English	L1	0.6666666666666666	0.013333333333333345	3.0	to_L2
Amityville	English UK	L1	0.74	0.0	1.0	to_L1
Amityville	English UK	L1	0.73	0.0	1.0	to_L2
Rushes	French - France	L2	0.78	0.0	1.0	to_L1
Rushes	French - France	L2	0.77	0.0	1.0	to_L2
wandle	English - British	L1	0.6655555555555556	0.013448576041011335	9.0	to_L1
wandle	English - British	L1	0.636179775280899	0.005426055876170688	178.0	to_L2
James Brandon	English + French - UK	L1	0.6599999999999999	0.021908902300206645	5.0	to_L1
James Brandon	English + French - UK	L1	0.66	0.020236694629405503	7.0	to_L2
ride7359	English	L1	0.66	0.0	1.0	to_L1
ride7359	English	L1	0.6649999999999999	0.02901149197588201	4.0	to_L2
elianecanspeak	English - EEUU	L1	0.65	0.0	1.0	to_L1
elianecanspeak	English - EEUU	L1	0.675	0.014999999999999958	2.0	to_L2
Orbayu	Español-España	L1	0.558	0.03679673898594821	5.0	to_L1
Orbayu	Español-España	L1	0.6729411764705882	0.013632916099796223	17.0	to_L2
Wozzeck	French	L1	0.7050000000000001	0.054999999999999986	2.0	to_L1
Wozzeck	French	L1	0.62	0.0	1.0	to_L2
lospazio	Castellano - Argentina	L2	0.6525	0.04732423621500227	4.0	to_L1
lospazio	Castellano - Argentina	L2	0.595	0.044999999999999984	2.0	to_L2
Salvage	USA English	L1	0.6799999999999999	0.009999999999999953	2.0	to_L1
Salvage	USA English	L1	0.6639999999999999	0.028252826800556116	10.0	to_L2
boukli	French	L2	0.86	0.0	1.0	to_L1
boukli	French	L2	0.78	0.0	1.0	to_L2
Gamen	Spanish Argentina	L2	0.6585714285714286	0.027553287888551305	7.0	to_L1
Gamen	Spanish Argentina	L2	0.6495454545454545	0.017326471411405378	22.0	to_L2
Lampiste	Español	L1	0.76	0.020000000000000018	2.0	to_L1
Lampiste	Español	L1	0.72	0.0	1.0	to_L2
Ariel Knightly	Brazilian Portuguese	L2	0.59	0.0	1.0	to_L1
Ariel Knightly	Brazilian Portuguese	L2	0.75	0.0	1.0	to_L2
lucas-sp	English - Californian	L1	0.6686363636363637	0.01597204612374334	22.0	to_L1
lucas-sp	English - Californian	L1	0.661036269430052	0.005433975134757786	193.0	to_L2
Enquiring Mind	English - the Queen's	L1	0.6745454545454544	0.01969603727396759	11.0	to_L1
Enquiring Mind	English - the Queen's	L1	0.670185185185185	0.00566505637667598	216.0	to_L2
xicranda	català, español	L1	0.75	0.0	1.0	to_L1
xicranda	català, español	L1	0.73	0.0	1.0	to_L2
Jaime Bien	Español/España	L1	0.6425000000000001	0.01937567203135588	16.0	to_L1
Jaime Bien	Español/España	L1	0.6707142857142857	0.014601664863297106	28.0	to_L2
airportzombie	English - CaE/AmE	L1	0.72	0.010000000000000009	2.0	to_L1
airportzombie	English - CaE/AmE	L1	0.7	0.018708286933869698	5.0	to_L2
Franco-filly	English - Southern England	L1	0.72	0.0	1.0	to_L1
Franco-filly	English - Southern England	L1	0.6389655172413792	0.019729356159777778	29.0	to_L2
sayah	Spain. Spanish	L2	0.7533333333333333	0.024037008503093284	3.0	to_L1
sayah	Spain. Spanish	L2	0.71	0.020000000000000018	2.0	to_L2
ManPaisa	AmE (New England) / español (Colombia)	L2	0.7266666666666668	0.023979157616563596	9.0	to_L1
ManPaisa	AmE (New England) / español (Colombia)	L2	0.77	0.020000000000000018	2.0	to_L2
Luis Albornoz	Castellano - Argentina	L2	0.6266666666666666	0.06984108946585654	3.0	to_L1
Luis Albornoz	Castellano - Argentina	L2	0.745	0.04500000000000005	2.0	to_L2
iran	ESPAÑOL, Basque	L1	0.6599999999999999	0.07	2.0	to_L1
iran	ESPAÑOL, Basque	L1	0.55	0.0	1.0	to_L2
Loob	English UK	L1	0.663125	0.029335966974574634	16.0	to_L1
Loob	English UK	L1	0.6410000000000002	0.008450508842174844	140.0	to_L2
pickypuck	Extremaduran Spanish	L2	0.7466666666666667	0.027284509239574855	3.0	to_L1
pickypuck	Extremaduran Spanish	L2	0.77	0.0	1.0	to_L2
ordequin	Castellano/ España	L1	0.775	0.00957427107756339	4.0	to_L1
ordequin	Castellano/ España	L1	0.75	0.0	1.0	to_L2
rocioteag	Español / México	L1	0.66	0.0	1.0	to_L1
rocioteag	Español / México	L1	0.6866666666666666	0.03382963855030739	3.0	to_L2
ampurdan	Català & español (Spain)	L2	0.6875	0.027499999999999993	4.0	to_L1
ampurdan	Català & español (Spain)	L2	0.7675000000000001	0.0217466472511665	4.0	to_L2
belén	Spanish, Spain, Catalan, Mallorca	L2	0.71	0.0	1.0	to_L1
belén	Spanish, Spain, Catalan, Mallorca	L2	0.6525000000000001	0.01839545751382272	8.0	to_L2
duvija	Spanish - Uruguay	L2	0.785	0.025000000000000022	2.0	to_L1
duvija	Spanish - Uruguay	L2	0.72	0.0	1.0	to_L2
Calambur	Castellano (rioplatense) - Lunfardo	L1	0.7126923076923075	0.01682998873172704	26.0	to_L1
Calambur	Castellano (rioplatense) - Lunfardo	L1	0.7226470588235294	0.008707044533884425	34.0	to_L2
Antpax	Spanish    Spain	L2	0.7250000000000001	0.012931443160847215	10.0	to_L1
Antpax	Spanish    Spain	L2	0.6833333333333333	0.025221243250702588	9.0	to_L2
Camilo1964	Spanish - Venezuela	L1	0.71	0.030550504633038926	3.0	to_L1
Camilo1964	Spanish - Venezuela	L1	0.71	0.010801234497346443	4.0	to_L2
Fernando	Spain, Spanish	L2	0.7	0.010000000000000009	2.0	to_L1
Fernando	Spain, Spanish	L2	0.688	0.01593737745050922	5.0	to_L2
franzjekill	Español rioplatense	L2	0.62	0.0	1.0	to_L1
franzjekill	Español rioplatense	L2	0.58	0.0	1.0	to_L2
Miguel On Ojj	Castellano	L1	0.7126470588235294	0.010126726639417358	34.0	to_L1
Miguel On Ojj	Castellano	L1	0.6977358490566037	0.007994199227827122	53.0	to_L2
Bark	Español de España	L1	0.67	0.0	1.0	to_L1
Bark	Español de España	L1	0.6459999999999999	0.01266666666666667	10.0	to_L2
aceituna	Madrid (España) - castellano	L1	0.815	0.024999999999999963	2.0	to_L1
aceituna	Madrid (España) - castellano	L1	0.7733333333333334	0.016666666666666684	3.0	to_L2
ROSANGELUS	Español	L2	0.7333333333333334	0.008819171036881977	3.0	to_L1
ROSANGELUS	Español	L2	0.7033333333333333	0.028480012484391762	3.0	to_L2
Ludaico	España, español, murciano	L1	0.6900000000000001	0.05859465277082318	3.0	to_L1
Ludaico	España, español, murciano	L1	0.6878947368421052	0.01944521389674859	19.0	to_L2
Jonno	Castellano	L1	0.7188636363636364	0.006844821108972693	44.0	to_L1
Jonno	Castellano	L1	0.6978417266187049	0.005065273643135807	139.0	to_L2
oa2169	Español	L1	0.7192307692307692	0.01711430420098999	13.0	to_L1
oa2169	Español	L1	0.74	0.0382099463490856	5.0	to_L2
chileno	Castellano - Chile	L2	0.6	0.0	1.0	to_L1
chileno	Castellano - Chile	L2	0.67	0.0	1.0	to_L2
Saúl Ortega	Español	L1	0.6625	0.024330316186073	8.0	to_L1
Saúl Ortega	Español	L1	0.6177272727272727	0.021400447239953917	22.0	to_L2
Aviador	Castellano de Chile	L1	0.6659999999999999	0.01174734012447073	25.0	to_L1
Aviador	Castellano de Chile	L1	0.6453571428571429	0.0167812106983343	28.0	to_L2
soplamocos	Español rioplatense	L1	0.6857142857142858	0.01835888519546038	14.0	to_L1
soplamocos	Español rioplatense	L1	0.6758536585365855	0.012405622298151842	41.0	to_L2
lavecilla	Español	L1	0.7200000000000001	7.850462293418875e-17	3.0	to_L1
lavecilla	Español	L1	0.7033333333333333	0.008819171036881977	3.0	to_L2
cacarulo	Buenos Aires, Argentina * Español	L1	0.7366666666666667	0.011450376024878459	6.0	to_L1
