message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post11019183	0.71	lauranazario	Español puertorriqueño & US English	L1	post11019192	belén	Spanish, Spain, Catalan, Mallorca	L1
post18057265	0.75	Miguel On Ojj	Castellano	L1	post18057104	Phil Rob	Français	L2
post17715711	0.68	Aviador	Castellano de Chile	L1	post17715645	leslangues13	Turkish	L2
post18054457	0.66	Elcanario	Spanish - Spain	L1	post18054298	AthonLince	Italian	L2
post18052020	0.75	Ayutuxtepeque	Español salvadoreño	L1	post18052012	asm	Mexico, Spanish	L1
post17999981	0.62	Artifacs	Spanish- España	L1	post17999924	ROBYROBYROBY	Italian	L2
post18037012	0.66	Xiscomx	Español de España y Balear	L1	post18036745	kokolo	croata	L2
post18042755	0.69	jsvillar	Spanish - Spain	L1	post18042718	Nigar555	azerbaiyano	L2
post18042225	0.7	Circunflejo	Castellano de Castilla	L1	post18042205	amoelreyleon	Alemán - Austria	L2
post18036413	0.74	Orbayu	Español-España	L1	post18036223	Natalya Vinaeva	Russian	L2
post18034117	0.74	Xiscomx	Español de España y Balear	L1	post18034107	2000	Chino	L2
post18034086	0.71	Xiscomx	Español de España y Balear	L1	post18034048	Eliseo Herrera	Colombia, spanish	L1
post18031582	0.66	Artifacs	Spanish- España	L1	post18031570	Beginer	Spain, spanish	L1
post18030835	0.72	Miguel On Ojj	Castellano	L1	post18030570	Senordineroman	USA English - Midwest	L2
post18025928	0.69	El señor Letras	Español España - Español Argentino	L1	post18025914	Mossino	Español Argentino	L1
post18023350	0.77	Señor K	Español chileno	L1	post18023336	Señor K	Español chileno	L1
post18024231	0.77	Artifacs	Spanish- España	L1	post18024224	AndresApikian	Spanish	L1
post18022386	0.72	Xiscomx	Español de España y Balear	L1	post18022332	Mossino	Español Argentino	L1
post17995286	0.66	Miguel On Ojj	Castellano	L1	post17994939	Razorwings18	Spanish - Argentina	L1
post17763798	0.82	oa2169	Español	L1	post17763696	banukarakas	Turkish	L2
post18010729	0.52	Artifacs	Spanish- España	L1	post18010543	AthonLince	Italian	L2
post18010397	0.69	TheCrociato91	Italian - Northern Italy	L2	post18010384	AthonLince	Italian	L2
post18009691	0.76	Ayutuxtepeque	Español salvadoreño	L1	post18009674	jacobo1993	Polaco	L2
post18008765	0.7	Xiscomx	Español de España y Balear	L1	post18008673	CarlitosMS	Spanish - Spain	L1
post18000953	0.74	Gorgiewave	Scotland, English	L2	post18000892	matthews028	English, USA	L2
post18003307	0.59	Artifacs	Spanish- España	L1	post18003167	egeasya	turkish	L2
post17270561	0.74	soplamocos	Español rioplatense	L1	post17270504	pordiosero	Árabe-Dariya	L2
post17995469	0.53	Artifacs	Spanish- España	L1	post17995104	The Inquisitive One	Persian	L2
post17988030	0.59	Artifacs	Spanish- España	L1	post17988005	Olesia	Russian	L2
post11264124	0.76	Jonno	Castellano	L1	post11264013	Shaked.ray	Spanish-Spain	L1
post17981580	0.64	Xiscomx	Español de España y Balear	L1	post17981514	kornilios	greek	L2
post17982145	0.69	sinho4	Galego - Spain	L2	post17981820	lovegonta	Japanese	L2
post17982965	0.71	TheCrociato91	Italian - Northern Italy	L2	post17982898	Luiss2004	Español colombiano	L1
post14758105	0.66	ukimix	español	L1	post14758016	Quique Alfaro	castellano	L1
post17970465	0.6	MiguelitOOO	Español - México	L1	post17970425	pordiosero	Árabe-Dariya	L2
post17965451	0.62	Seelewig	Spanish & Catalan	L1	post17965087	AthonLince	Italian	L2
post17967053	0.74	Graciela J	Spanish - Argentina	L1	post17966936	Alberto Kim	korean- south korea	L2
post14397089	0.7	Antonella V	español	L1	post14394636	bigdummy	inglés (por descuido)	L2
post17960524	0.77	TheCrociato91	Italian - Northern Italy	L2	post17960406	AthonLince	Italian	L2
post17955681	0.62	Saúl Ortega	Español	L1	post17955654	Luboskolar	Czech	L2
post17951739	0.64	TheCrociato91	Italian - Northern Italy	L2	post17951488	Alberto Kim	korean- south korea	L2
post17949761	0.71	TheCrociato91	Italian - Northern Italy	L2	post17949750	marinane	Bulgarian	L2
post17943046	0.65	Artifacs	Spanish- España	L1	post17942990	candycanesss	Korean	L2
post15645400	0.52	Mayoide	Español	L1	post15645018	bipster	spain	L2
post17932605	0.7	Rasp	Castellano de España	L1	post17932596	Alberto Kim	korean- south korea	L2
post17924158	0.78	jilar	Español	L1	post17923873	jsvillar	Spanish - Spain	L1
post17918644	0.71	Seelewig	Spanish & Catalan	L1	post17918624	marinane	Bulgarian	L2
post17915319	0.68	Artifacs	Spanish- España	L1	post17915223	TheCrociato91	Italian - Northern Italy	L2
post13633893	0.69	ACQM	Spain - Spanish	L1	post13633850	cattac	german	L2
post15584732	0.75	Hermes Varillas Labrador	Español	L1	post14889922	Darío Anselmo	COSTA RICA - Spanish	L1
post17911512	0.61	Agró	Spanish-Navarre	L1	post17911492	maicart	Spanish, Spain	L1
post17909388	0.79	Orbayu	Español-España	L1	post17909379	Johanna65	Sweden Swedish	L2
post16477173	0.72	Kaxgufen	Castellano de Argentina	L1	post16477097	irinaPB	Wu Chinese - CHN	L2
post17900255	0.59	Seelewig	Spanish & Catalan	L1	post17900209	eugenioandreev	Russian	L2
post17897913	0.75	S.V.	Español, México	L1	post17897897	roxanelag	Spanish-Spain	L1
post13625815	0.74	Lord Darktower	Español	L1	post13625630	Nicodimo	Español de Montevideo	L1
post17895667	0.76	Miguel On Ojj	Castellano	L1	post17895572	German_lover	Czech	L2
post17892450	0.74	JeSuisSnob	Mexican Spanish	L1	post17892412	Mariposa44	Polish	L2
post17882664	0.76	Quiviscumque	Spanish-Spain	L1	post17882178	epistolario	Tagalog	L2
post17871288	0.82	Penyafort	Catalan (Catalonia), Spanish (Spain)	L1	post17869917	Ciprianus	Castellano Argentina	L1
post17853517	0.54	albertorabell	spanish - Mexico	L1	post17853169	Dd88	Russian	L2
post17856436	0.76	jsvillar	Spanish - Spain	L1	post17854871	Luiss2004	Español colombiano	L1
post17855285	0.67	Janis Joplin	Español mexicano.	L1	post17855109	lessia	Russian; Russia	L2
post17853977	0.73	jilar	Español	L1	post17853753	Andrash	Hungarian - Hungary	L2
post17853700	0.68	Orbayu	Español-España	L1	post17853679	Jihaady	Arabic-Egypt	L2
post17846878	0.73	Miguel On Ojj	Castellano	L1	post17846726	Qafqaz	Azerbaijani-Turkish	L2
post17835504	0.77	MiguelitOOO	Español - México	L1	post17835453	kunvla	Ruso	L2
post17833629	0.7	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17833432	Ruzanna	Russian	L2
post17832040	0.68	Kaxgufen	Castellano de Argentina	L1	post17831681	eugenioandreev	Russian	L2
post17824537	0.79	Quiviscumque	Spanish-Spain	L1	post17824524	JMoita	Portuguese	L2
post17809211	0.63	MiguelitOOO	Español - México	L1	post17809178	Gazda	Hungarian	L2
post17823154	0.72	Rodal	Castellano (Chile)	L1	post17823081	martin_xnz	Español (Argentina)	L1
post17813741	0.63	MiguelitOOO	Español - México	L1	post17813545	Nigar555	azerbaiyano	L2
post17809308	0.72	MiguelitOOO	Español - México	L1	post17809215	Miguelito1986	English-United States (Pacific Northwest)	L2
post17813526	0.62	Aviador	Castellano de Chile	L1	post17813438	asm	Mexico, Spanish	L1
post17812112	0.74	S.V.	Español, México	L1	post17812061	JadedLad	English - UK	L2
post15500984	0.74	cacarulo	Buenos Aires, Argentina * Español	L1	post15500861	Aserolf	Español - México	L1
post17810967	0.67	oa2169	Español	L1	post17810844	fcarmona	Español - Chile	L1
post17809060	0.72	Agró	Spanish-Navarre	L1	post17809045	Gorgiewave	Scotland, English	L2
post17804863	0.75	S.V.	Español, México	L1	post17804674	Olya34	Russian	L2
post17801812	0.7	lavecilla	Español	L1	post17800110	lillaspana	France - français	L2
post17797498	0.72	swift	Spanish – Costa Rica (Valle Central)	L1	post17797465	Erec	Italiano y Castellano	L1
post17786091	0.65	Xiscomx	Español de España y Balear	L1	post17785865	maicart	Spanish, Spain	L1
post9410102	0.73	Calambur	Castellano (rioplatense) - Lunfardo	L1	post9409963	ProximaCentauri	Russian	L2
post17797021	0.63	Miguel On Ojj	Castellano	L1	post17796946	FabianaG	Mexican Spanish	L1
post17778667	0.79	Miguel On Ojj	Castellano	L1	post17778222	eno2	Dutch-Flemish	L2
post3361136	0.77	grdsit	Español, El Salvador	L1	post3360986	SilArgentina	Español; Argentina	L1
post17789193	0.72	Xiscomx	Español de España y Balear	L1	post17788624	labarbedemalebranche	Spanish	L1
post17780044	0.73	Agró	Spanish-Navarre	L1	post17780034	Ma-k-no	Spanish - México	L1
post17778705	0.73	S.V.	Español, México	L1	post17778665	Alex_Zak	Russian	L2
post17777743	0.64	Señor K	Español chileno	L1	post17777694	ricky.com	Italian	L2
post17774652	0.7	S.V.	Español, México	L1	post17774629	Bgehlen	English - USA	L2
post17765318	0.73	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17765152	Arcadio177	Español	L1
post17772734	0.75	Janis Joplin	Español mexicano.	L1	post17772680	eno2	Dutch-Flemish	L2
post15323641	0.7	Rolivares	español - México	L1	post14946667	Jonno	Castellano	L1
