message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post17769061	0.74	swift	Spanish – Costa Rica (Valle Central)	L1	post17769047	OwlTycho	German	L2
post17764264	0.66	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17763858	Elmonosabio	English/ U.S.	L2
post4004460	0.65	Sidjanga	German;southern tendencies	L2	post4004328	c.douesnel	France	L2
post17761939	0.8	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17761869	altita	Mexico/ English	L2
post12427681	0.71	swift	Spanish – Costa Rica (Valle Central)	L1	post12427661	provencio	Español peninsular	L1
post17755121	0.8	Xiscomx	Español de España y Balear	L1	post17754724	Mooncrab	Venezuelan - Spanish	L1
post17752861	0.65	MiguelitOOO	Español - México	L1	post17752843	rajulbat	English - United States (Houston)	L2
post17752121	0.68	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17752032	banukarakas	Turkish	L2
post12473355	0.63	cbrena	español	L1	post12473142	Daniel López	Spanish	L1
post17741442	0.65	Miguel On Ojj	Castellano	L1	post17741425	The Virgin	Arabic	L2
post8638771	0.71	Cubanboy	Spanish	L1	post8638756	Epilio	Spanish - Spain	L1
post15521065	0.74	Miguel On Ojj	Castellano	L1	post15520934	Mhg44	English	L2
post17734099	0.57	jsvillar	Spanish - Spain	L1	post17733972	.wojtek	Polish - Poland	L2
post17728166	0.8	swift	Spanish – Costa Rica (Valle Central)	L1	post17728150	Señor K	Español chileno	L1
post17715485	0.63	Kaxgufen	Castellano de Argentina	L1	post17715374	Alberto Kim	korean- south korea	L2
post17723596	0.67	Artifacs	Spanish- España	L1	post17723358	Hausmeister	Tagalog ni Balagtas	L2
post1273616	0.57	Yyrkoon	Castellano-España	L1	post1273540	dreamer M	Spanish	L1
post17721187	0.57	Saúl Ortega	Español	L1	post17721174	tmsnhrb	English - UK	L2
post17719603	0.66	Quique Alfaro	castellano	L1	post17719551	pelus	Castellano (Argentina)	L1
post3356724	0.76	YaniraTfe	español (España)	L1	post3356676	MariaTriana	Español, España	L1
post17715432	0.73	Miguel On Ojj	Castellano	L1	post17715299	Xerfa	Galician,  spanish	L1
post17715235	0.73	kunvla	Ruso	L2	post17715227	VerodeVenezuela	Español de Venezuela	L1
post17714822	0.77	Kaxgufen	Castellano de Argentina	L1	post17714541	Ruzanna	Russian	L2
post17713609	0.62	Orbayu	Español-España	L1	post17713448	The Inquisitive One	Persian	L2
post17710678	0.76	S.V.	Español, México	L1	post17710567	WhoCaresMan	English - USA	L2
post12452975	0.64	EduardoGonzalez	español de España, La Mancha (C. Real)	L1	post12452810	l_ucie	czech	L2
post17690561	0.64	Aviador	Castellano de Chile	L1	post17690481	Edgar Andrey Vega Paredes	Español	L1
post17694365	0.73	Quique Alfaro	castellano	L1	post17694326	aesir	Russian	L2
post17691736	0.71	Edgar Andrey Vega Paredes	Español	L1	post17691670	pelus	Castellano (Argentina)	L1
post17687270	0.65	Seelewig	Spanish & Catalan	L1	post17686924	baagheer	Persian	L2
post17689377	0.54	Mariam486	Castellano	L1	post17689346	David_coreano	Korean - Spanish	L1
post17685371	0.69	Saúl Ortega	Español	L1	post17685165	Señor K	Español chileno	L1
post17677637	0.72	Duometri	Spain, Spanish	L1	post17677509	Broca	Italiano	L2
post17656209	0.76	Quirce	Spanish-Madrid	L1	post17656114	sybabette	English (American)	L2
post17678036	0.65	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17677821	Ruzanna	Russian	L2
post17667656	0.82	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17667609	Aficionadoesp	Português	L2
post16500771	0.7	Hrutland	Castellano, Chile	L1	post16500675	efriend	Spanish Mexico & English USA	L1
post17663095	0.59	Duometri	Spain, Spanish	L1	post17663038	suleyman	turkish	L2
post17655789	0.77	S.V.	Español, México	L1	post17655765	epistolario	Tagalog	L2
post17653336	0.63	JeSuisSnob	Mexican Spanish	L1	post17653298	Armando Medina	Español	L1
post987078	0.72	Maruja14	Español - España (Madrid)	L1	post981159	soyyo	English-USA	L2
post17642438	0.62	Circunflejo	Castellano de Castilla	L1	post17640502	plam	Slovene; Slovenia	L2
post17643602	0.65	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17643516	Jordan265	English	L2
post17611751	0.58	Quique Alfaro	castellano	L1	post17611727	xpell	Spanish - Spain	L1
post17637904	0.67	MiguelitOOO	Español - México	L1	post17637790	Josluar79	Español	L1
post17638144	0.72	Miguel On Ojj	Castellano	L1	post17638024	aesir	Russian	L2
post17637625	0.58	Circunflejo	Castellano de Castilla	L1	post17637585	jacobo1993	Polaco	L2
post17634761	0.69	MiguelitOOO	Español - México	L1	post17634705	vcostantini	Argentina - Spanish	L1
post17634965	0.84	S.V.	Español, México	L1	post17634488	Kapunda	German	L2
post17609922	0.74	Saúl Ortega	Español	L1	post17607741	Nigar555	azerbaiyano	L2
post17608281	0.62	Leon_Izquierdo	Español Rioplatense	L1	post17608236	adicte	French (France)	L2
post17604781	0.76	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17604716	soplamocos	Español rioplatense	L1
post12914699	0.8	germanbz	Spanish-Spain/Catalan (Val)	L1	post12914555	Zoren	italiano	L2
post17598237	0.64	S.V.	Español, México	L1	post17598173	WhoCaresMan	English - USA	L2
post10444967	0.77	PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	post10443926	susantash	Español de Uruguay	L1
post17596816	0.69	sinho4	Galego - Spain	L2	post17596742	Programático	Español -Argentina-	L1
post17589355	0.64	Jay Lang	Spanish (from Spain)	L1	post17589279	RamonRojo	italiano	L2
post17587964	0.74	soplamocos	Español rioplatense	L1	post17587924	pordiosero	Árabe-Dariya	L2
post17586009	0.75	Alfonso Chíncaro	Español (Perú)	L1	post17585965	barbonmattia	Italian	L2
post17153761	0.61	Aviador	Castellano de Chile	L1	post17153411	Saupau	Spanish	L1
post17576863	0.65	betikote	Español - España	L1	post17576448	ROBYROBYROBY	Italian	L2
post17576719	0.62	Saúl Ortega	Español	L1	post17576682	Benita333	Chinese	L2
post17573645	0.67	jsvillar	Spanish - Spain	L1	post17573595	beguate	japanese	L2
post17568420	0.63	Saúl Ortega	Español	L1	post17568385	beguate	japanese	L2
post17557059	0.46	Aviador	Castellano de Chile	L1	post17557044	German_lover	Czech	L2
post17555552	0.73	MiguelitOOO	Español - México	L1	post17555535	keramus	Persian	L2
post17548441	0.53	betikote	Español - España	L1	post17548385	yuzienza	chinese	L2
post687097	0.78	Rayines	Castellano/Argentina	L1	post686915	lazarus1907	Spanish, Spain	L1
post17518026	0.69	Miguel On Ojj	Castellano	L1	post17518003	The Inquisitive One	Persian	L2
post15618985	0.69	Miguel On Ojj	Castellano	L1	post15618487	bacchebenevenies	Español (Argentina)	L1
post17513265	0.71	Aviador	Castellano de Chile	L1	post17513206	francisgranada	Hungarian	L2
post9724960	0.79	aldonzalorenzo	Spanish	L1	post9724931	pgbonino	Spain and spanish	L1
post9859370	0.75	Bloodsun	Castellano - Argentina	L1	post9859203	elnickestalibre	español	L1
post17509749	0.65	MargotPorcia	Español	L1	post17509640	Readomingues	Portuguese - Brazil	L2
post17504345	0.63	Rasp	Castellano de España	L1	post17504332	Xerfa	Galician,  spanish	L1
post17502727	0.8	JeSuisSnob	Mexican Spanish	L1	post17502689	aktiff	Español	L1
post17490593	0.67	MiguelitOOO	Español - México	L1	post17490566	eno2	Dutch-Flemish	L2
post17495436	0.83	S.V.	Español, México	L1	post17494749	---	English - American	L2
post17485971	0.74	Señor K	Español chileno	L1	post17484101	Elnonopololo	Español - Uruguay	L1
post17498546	0.61	cacarulo	Buenos Aires, Argentina * Español	L1	post17498517	JuanSamaranch	Chinese - China	L2
post17488120	0.72	JeSuisSnob	Mexican Spanish	L1	post17487408	Tin	Catalan - Majorca / Spanish - Spain	L1
post17493244	0.67	Rasp	Castellano de España	L1	post17493217	olcountrylawyer	The American Slanguage	L2
post17492823	0.67	MiguelitOOO	Español - México	L1	post17492782	edcardenass	Spanish - Venezuela	L1
post17487809	0.62	Saúl Ortega	Español	L1	post17487772	popolvuh	Chinese, China	L2
post2715113	0.76	lazarus1907	Spanish, Spain	L1	post2715094	mirk	Native from Mexico, Spanish.  Living in	L1
post17476403	0.71	Rasp	Castellano de España	L1	post17476348	choose_me	Turkish	L2
post17464019	0.67	sinho4	Galego - Spain	L2	post17463858	yemasadegomes	Valencià	L2
post17476222	0.61	Kaxgufen	Castellano de Argentina	L1	post17476158	nieves000	chino	L2
post17459356	0.74	MiguelitOOO	Español - México	L1	post17459192	Tin	Catalan - Majorca / Spanish - Spain	L1
post17453673	0.7	MiguelitOOO	Español - México	L1	post17453638	sunlincong	spanish-chinese	L1
post17416824	0.59	soplamocos	Español rioplatense	L1	post17416615	barcelona2007	Greek	L2
post17450579	0.58	soplamocos	Español rioplatense	L1	post17450365	YangWang	Chino	L2
post17451631	0.74	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17451613	Dide	Italian - Italy	L2
post17441708	0.61	Miguel On Ojj	Castellano	L1	post17441217	Xerfa	Galician,  spanish	L1
post5962220	0.76	Polizón	Español	L1	post5962192	lady jekyll	Spanish	L1
post17433639	0.72	MiguelitOOO	Español - México	L1	post17433479	kornilios	greek	L2
post11087990	0.78	Adolfo Afogutu	Español	L1	post11087847	Calambur	Castellano (rioplatense) - Lunfardo	L1
post17433081	0.71	soplamocos	Español rioplatense	L1	post17433024	bellota32	hungarian	L2
post17428390	0.66	Aya_N	Spain, Spanish	L1	post17428183	sunlincong	spanish-chinese	L1
post17421028	0.78	S.V.	Español, México	L1	post17420962	Siddharta2711	Spanish	L1
post17417240	0.74	betikote	Español - España	L1	post17416121	Señor K	Español chileno	L1
post17415309	0.69	Orbayu	Español-España	L1	post17415141	kornilios	greek	L2
post17409894	0.78	Jonno	Castellano	L1	post17409844	jacobo1993	Polaco	L2
post17412934	0.57	betikote	Español - España	L1	post17412467	barcelona2007	Greek	L2
post17400012	0.61	soplamocos	Español rioplatense	L1	post17399358	AnnaBtG	Greek (Greece)	L2
post17410985	0.52	jsvillar	Spanish - Spain	L1	post17409099	cesio	alemán	L2
post17410539	0.64	jorgema	Peruvian Spanish	L1	post17410508	Janis Joplin	Español mexicano.	L1
post17403994	0.65	Saúl Ortega	Español	L1	post17403901	Aficionadoesp	Português	L2
post17383589	0.65	S.V.	Español, México	L1	post17383261	sergio.a.chacon	Español	L1
post17385700	0.68	Kaxgufen	Castellano de Argentina	L1	post17385543	nandao	Portuguese - Brazil	L2
post17391177	0.66	Saúl Ortega	Español	L1	post17391061	RamonRojo	italiano	L2
post17391123	0.79	Xiscomx	Español de España y Balear	L1	post17388848	Felix57	English	L2
post17387662	0.71	swift	Spanish – Costa Rica (Valle Central)	L1	post17387605	maxjex	castellano,rioplatense rehilado	L1
post17384935	0.77	Xiscomx	Español de España y Balear	L1	post8315063	rodriguez_rm	italia	L2
post17372347	0.5	soplamocos	Español rioplatense	L1	post17372138	aesir	Russian	L2
post17378966	0.75	Jonno	Castellano	L1	post17378823	Qafqaz	Azerbaijani-Turkish	L2
post17375610	0.65	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post17375415	Nigar555	azerbaiyano	L2
post17373225	0.64	Saúl Ortega	Español	L1	post17373202	Ruzanna	Russian	L2
post17373078	0.6	*Luce	Italian	L2	post17372751	The Virgin	Arabic	L2
post1324363	0.73	lauranazario	Español puertorriqueño & US English	L1	post1324203	claretranslates	Spanish	L1
post17366785	0.59	Aviador	Castellano de Chile	L1	post17366774	epistolario	Tagalog	L2
post17357114	0.69	Miguel On Ojj	Castellano	L1	post17356920	MoonLight_lights	Spanish!	L1
post17331930	0.58	Saúl Ortega	Español	L1	post17331248	Gerardo G.	Español colombiano	L1
post17342027	0.72	Rasp	Castellano de España	L1	post17341998	barcelona2007	Greek	L2
post17335242	0.65	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post17334979	nieves000	chino	L2
post17334477	0.67	Quique Alfaro	castellano	L1	post17334075	Iria.	Spanish- Spain	L1
post17311815	0.72	Saúl Ortega	Español	L1	post17309956	elcidcampeador	Spanish-Bolivia	L1
post17312390	0.75	Quiviscumque	Spanish-Spain	L1	post17312132	danubile92	Italian	L2
post10162067	0.78	HalloweenJr	Español	L1	post10156873	duvija	Spanish - Uruguay	L1
post4078202	0.76	Rayines	Castellano/Argentina	L1	post4078090	Lore2405	Chile, Español	L1
post17302141	0.73	Jay Lang	Spanish (from Spain)	L1	post17301862	Señor K	Español chileno	L1
post17296622	0.58	MiguelitOOO	Español - México	L1	post17296602	aesir	Russian	L2
post7023693	0.81	ManPaisa	AmE (New England) / español (Colombia)	L1	post7023666	Edelmar	Argentine Spanish	L1
post17217812	0.71	jsvillar	Spanish - Spain	L1	post17217647	Hiro Sasaki	Japan, Japanese	L2
post17293119	0.72	MiguelitOOO	Español - México	L1	post17292790	nieves000	chino	L2
post17293474	0.68	MiguelitOOO	Español - México	L1	post17293335	danubile92	Italian	L2
post17282521	0.64	MiguelitOOO	Español - México	L1	post17282461	nieves000	chino	L2
post17282237	0.65	Alfonso Chíncaro	Español (Perú)	L1	post17281444	cacarulo	Buenos Aires, Argentina * Español	L1
post17288145	0.63	jsvillar	Spanish - Spain	L1	post17288051	Nooj	English - Aus-NZ	L2
post17280990	0.63	MiguelitOOO	Español - México	L1	post17280968	aesir	Russian	L2
post5115963	0.71	Namarne	Spanish	L1	post5115875	María Madrid	Spanish Spain	L1
post17274766	0.54	murciana	Spanish - Spain	L1	post17274340	choose_me	Turkish	L2
post17273189	0.68	Miguel On Ojj	Castellano	L1	post17273104	lidiashuo	Chinese	L2
post17270943	0.68	kunvla	Ruso	L2	post17270936	S.V.	Español, México	L1
post17267708	0.58	soplamocos	Español rioplatense	L1	post17267567	Nigar555	azerbaiyano	L2
post17263105	0.74	Jay Lang	Spanish (from Spain)	L1	post17263087	lori63	Chinese-PRC	L2
post17264931	0.75	Jay Lang	Spanish (from Spain)	L1	post17264708	kornilios	greek	L2
post17260257	0.79	S.V.	Español, México	L1	post17259170	Sviatopolk	Russian	L2
post17262119	0.68	Kaxgufen	Castellano de Argentina	L1	post17261953	Zhn_1428	Persa	L2
post17247379	0.7	Alfonso Chíncaro	Español (Perú)	L1	post17246962	Landaris	Spanish	L1
post17228319	0.63	MiguelitOOO	Español - México	L1	post17228232	prjammm	English	L2
post17248935	0.62	Orbayu	Español-España	L1	post17248518	eno2	Dutch-Flemish	L2
post17246997	0.59	Landaris	Spanish	L1	post17246829	aesir	Russian	L2
post17246000	0.57	Saúl Ortega	Español	L1	post17245985	laisla87	English (Australian) Español cubano	L1
post17244433	0.68	Miguel On Ojj	Castellano	L1	post17243801	Kutz	Spain, Spanish	L1
post17234009	0.71	jorgema	Peruvian Spanish	L1	post17233996	José Mora	Español mexicano	L1
post17234661	0.57	Miguel On Ojj	Castellano	L1	post17234538	aesir	Russian	L2
post17230034	0.7	MiguelitOOO	Español - México	L1	post17230001	kunvla	Ruso	L2
post17228288	0.74	MiguelitOOO	Español - México	L1	post17228268	anna_karenina	romanian	L2
post17225498	0.67	jsvillar	Spanish - Spain	L1	post17225444	Einat	hebrew	L2
post17223767	0.73	Ayutuxtepeque	Español salvadoreño	L1	post17223555	elhombre03	English	L2
post17221427	0.75	Sendro Páez	Spanish - España	L1	post17220633	LoneCavalier	Polish-Poland	L2
post17220034	0.7	Paula Gallego	Spanish - Spain	L1	post17219095	The Virgin	Arabic	L2
post16601918	0.66	murciana	Spanish - Spain	L1	post16601720	RamonRojo	italiano	L2
post17218495	0.71	Aviador	Castellano de Chile	L1	post17218423	The Virgin	Arabic	L2
post17212640	0.68	Agró	Spanish-Navarre	L1	post17212583	mysunrise	Greek	L2
post17213012	0.7	Calambur	Castellano (rioplatense) - Lunfardo	L1	post17212906	kokolo	croata	L2
post12993187	0.65	jorgema	Peruvian Spanish	L1	post12993116	moonlight7	Russian	L2
post17208341	0.75	Kaxgufen	Castellano de Argentina	L1	post17208324	Zhn_1428	Persa	L2
post6083845	0.73	Little Chandler	español (ESP)	L1	post6083632	Gis70	Spanish	L1
post17206964	0.68	Jay Lang	Spanish (from Spain)	L1	post17206646	sunlincong	spanish-chinese	L1
post17205946	0.74	Kaxgufen	Castellano de Argentina	L1	post17205858	Marco de Varsovia	polish	L2
post17204795	0.77	quethibum	Castellano peruano	L1	post17202029	scholz	Hungarian	L2
post1235210	0.6	SpiceMan	Castellano, Argentina	L1	post1234954	mariente	Español, Argentina (somewhere in the planet Urban)	L1
post17193668	0.78	Agró	Spanish-Navarre	L1	post17193526	Hakuna Matata	Español - Argentina	L1
post17191279	0.75	Jay Lang	Spanish (from Spain)	L1	post17191104	justyna2015	Poland - Polish	L2
post17180466	0.7	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post17180075	The Virgin	Arabic	L2
post17183723	0.69	Kaxgufen	Castellano de Argentina	L1	post17183505	kornilios	greek	L2
post17183466	0.76	Jay Lang	Spanish (from Spain)	L1	post17174766	spanishandy	english- america	L2
post17180441	0.63	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post17180112	The Virgin	Arabic	L2
post17179639	0.78	Quique Alfaro	castellano	L1	post17179630	Stephanos in Atlanta	English - United States	L2
post3889796	0.73	aleCcowaN	Castellano - Argentina	L1	post3889700	Namarne	Spanish	L1
post17172389	0.7	S.V.	Español, México	L1	post17172375	Manutencion	Español	L1
post17162996	0.53	kunvla	Ruso	L2	post17160002	Haona	Spanish	L1
post17164961	0.71	allende	Spanish (Spain)/Catalan	L1	post17164840	zorba11	English - Ireland, Britain	L2
post17159387	0.69	MiguelitOOO	Español - México	L1	post17159308	lovchinskaya	Russian - Russia	L2
post17159236	0.72	Sendro Páez	Spanish - España	L1	post17158985	Josluar79	Español	L1
post17151636	0.4	Janis Joplin	Español mexicano.	L1	post17151571	cacarulo	Buenos Aires, Argentina * Español	L1
post17151030	0.75	Miguel On Ojj	Castellano	L1	post17150837	Programático	Español -Argentina-	L1
post17141204	0.72	MiguelitOOO	Español - México	L1	post17141109	Pizzinidda	Italian - Italia	L2
post17137527	0.75	oa2169	Español	L1	post17137426	jpaulopf	Português - Brasil	L2
post17086994	0.69	cacarulo	Buenos Aires, Argentina * Español	L1	post17086906	thomas84	Italiano	L2
post17125677	0.68	Rasp	Castellano de España	L1	post17125467	Señor K	Español chileno	L1
post9172633	0.79	Cubanboy	Spanish	L1	post9172494	bailarín	English (USA)	L2
post17129281	0.73	xicranda	català, español	L1	post17129202	ROBYROBYROBY	Italian	L2
