speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
ACQM	Spain - Spanish	L1	0.5833333333333334	0.007264831572567796	3.0	to_L2
S.V.	Español, México	L1	0.6043750000000001	0.01766345854744033	8.0	to_L1
S.V.	Español, México	L1	0.6530000000000001	0.05377266963802336	5.0	to_L2
Rayines	Castellano/Argentina	L1	0.652142857142857	0.02283108633861648	7.0	to_L1
Rayines	Castellano/Argentina	L1	0.6116666666666667	0.027738861628488723	3.0	to_L2
Xiscomx	Español de España y Balear	L1	0.6325000000000001	0.02772634126602352	4.0	to_L1
Xiscomx	Español de España y Balear	L1	0.5925	0.03939648884524272	4.0	to_L2
ToñoTorreón	Español de México	L1	0.62375	0.010483121354507612	4.0	to_L1
ToñoTorreón	Español de México	L1	0.6233333333333334	0.01878237944930776	3.0	to_L2
kunvla	Ruso	L2	0.5233333333333333	0.06207074816512023	3.0	to_L1
kunvla	Ruso	L2	0.59	0.0050000000000000044	2.0	to_L2
Lurrezko	Spanish (Spain) / Catalan	L1	0.6219999999999999	0.030724582991474424	5.0	to_L1
Lurrezko	Spanish (Spain) / Catalan	L1	0.655	0.020000000000000018	2.0	to_L2
Realice	Spanish - Spain	L1	0.61	0.0	1.0	to_L1
Realice	Spanish - Spain	L1	0.59	0.007637626158259741	3.0	to_L2
clares3	español España	L1	0.555	0.02020725942163689	3.0	to_L1
clares3	español España	L1	0.582	0.02267156809750926	5.0	to_L2
XiaoRoel	galego, español	L1	0.5975	0.016016389270828966	14.0	to_L1
XiaoRoel	galego, español	L1	0.5744999999999999	0.01992276754536544	10.0	to_L2
juandiego	Spanish from Spain	L1	0.5757692307692308	0.013888823142513686	13.0	to_L1
juandiego	Spanish from Spain	L1	0.58	0.011726039399558557	4.0	to_L2
jilar	Español	L1	0.5791666666666666	0.028208056374809734	6.0	to_L1
jilar	Español	L1	0.5972222222222222	0.009170874455121767	9.0	to_L2
PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	0.6294444444444445	0.019174716506024803	9.0	to_L1
PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	0.6584615384615385	0.010367982881618321	13.0	to_L2
diegodbs	Spain-Spanish	L1	0.555	0.0	1.0	to_L1
diegodbs	Spain-Spanish	L1	0.515	0.0	1.0	to_L2
Jay Lang	Spanish (from Spain)	L1	0.575	0.0	1.0	to_L1
Jay Lang	Spanish (from Spain)	L1	0.655	0.0	1.0	to_L2
Peterdg	Dutch - Belgium	L2	0.52	0.0	1.0	to_L1
Peterdg	Dutch - Belgium	L2	0.525	0.06999999999999998	2.0	to_L2
Quique Alfaro	castellano	L1	0.605	0.0	1.0	to_L1
Quique Alfaro	castellano	L1	0.615	0.0	1.0	to_L2
Sibutlasi	Spanish-Spain	L1	0.5975	0.0675	2.0	to_L1
Sibutlasi	Spanish-Spain	L1	0.455	0.0	1.0	to_L2
RaulCavazos	Mexican Spanish	L1	0.55	0.0	1.0	to_L1
RaulCavazos	Mexican Spanish	L1	0.5116666666666666	0.029202359113225378	3.0	to_L2
Bloodsun	Castellano - Argentina	L1	0.65	0.02362907813126303	3.0	to_L1
Bloodsun	Castellano - Argentina	L1	0.615	0.054999999999999986	2.0	to_L2
aleCcowaN	Castellano - Argentina	L1	0.6683333333333333	0.011666666666666643	3.0	to_L1
aleCcowaN	Castellano - Argentina	L1	0.605	0.022985502677412423	6.0	to_L2
Rasp	Castellano de España	L1	0.625	0.04500000000000005	2.0	to_L1
Rasp	Castellano de España	L1	0.5683333333333334	0.016414763002993486	3.0	to_L2
Mate	Castellano - Argentina	L1	0.65	0.0	1.0	to_L1
Mate	Castellano - Argentina	L1	0.695	0.0	1.0	to_L2
Crisipo de Soli	Castellano, Méjico	L1	0.49	0.0	1.0	to_L1
Crisipo de Soli	Castellano, Méjico	L1	0.61375	0.021347814095749155	4.0	to_L2
Sembrador	Español	L1	0.66	0.0	1.0	to_L1
Sembrador	Español	L1	0.6312500000000001	0.034843399661915894	4.0	to_L2
Sendro Páez	Spanish - España	L1	0.6567211055276382	0.03172110552763818	2.0	to_L1
Sendro Páez	Spanish - España	L1	0.61	0.0	1.0	to_L2
jc19	Español - México	L1	0.7	0.0	1.0	to_L1
jc19	Español - México	L1	0.605	0.0	1.0	to_L2
