speaker	lang	ltype	ave_ttr	se	nmessages
cuchuflete	EEUU-inglés	L2	0.722694560669456	0.0019940696042297537	1195
GenJen54	USA - English	L1	0.7139130434782607	0.0063961464039177145	115
timpeac	English (England)	L1	0.6792432432432426	0.0026362640841424033	555
panjandrum	English-Ireland (top end)	L1	0.657080423473212	0.0014716284393949022	3493
Nunty	Hebrew-US English (bilingual)	L1	0.6896116504854364	0.004037130389810314	309
owlman5	English-US	L1	0.6796891713934744	0.001400361471621024	2746
ride7359	English	L1	0.6633333333333334	0.02692582403567252	9
Andygc	British English	L1	0.6637347931873532	0.0016403740115272943	2466
JulianStuart	English (UK then US)	L1	0.6941446124763752	0.0014758852015097424	2116
Franco-filly	English - Southern England	L1	0.6288750000000001	0.011137793099469134	80
natkretep	English (Singapore/UK), basic Chinese	L1	0.6744392523364493	0.0021140086550157353	1070
PaulQ	English - England	L1	0.630304780413388	0.0010918626433688587	7734
velisarius	British English (Sussex)	L1	0.6644985394352524	0.001949782043559466	2054
Linkway	British English	L1	0.6788516746411482	0.002832638327275687	627
Myridon	English - US	L1	0.6237499999999996	0.00329406006880169	848
Florentia52	English - United States	L1	0.6409892473118279	0.004388731138274782	465
sdgraham	USA English	L1	0.7265590551181111	0.0019244465808662713	1270
e2efour	UK English	L1	0.6692208628461055	0.0018306857979604229	1553
DonnyB	English UK Southern Standard English	L1	0.7012514240145827	0.0029560634798971564	532
Egmont	English - U.S.	L1	0.6838195302843088	0.001414146845356943	2427
dojibear	English - Northeast US	L1	0.6472364063098593	0.0011784596818326116	4166
Truffula	English - USA	L1	0.675053078556264	0.002605230703048704	942
Packard	USA, English	L1	0.685355719977237	0.00165294343483533	1757
Loob	English UK	L1	0.661893520843799	0.0022834861440058298	1991
Edinburgher	German/English bilingual	L1	0.6669043428843848	0.0014714384815300067	2204
suzi br	English / England	L1	0.7118514150943387	0.002070987847360846	848
kentix	English - U.S.	L1	0.675445147329432	0.002156513365849662	1279
ewie	English English	L1	0.7263251366120222	0.0026781060298507863	732
entangledbank	English - South-East England	L1	0.6625065905096695	0.0011587602092060431	4552
Chez	English English	L1	0.668076923076923	0.006371140301042365	104
You little ripper!	Australian English	L1	0.6984615384615385	0.010897756405543127	65
heypresto	English - England	L1	0.6522500000000002	0.006571122796883005	240
sound shift	English - England	L1	0.6397471910112359	0.004610203260532687	356
boozer	Bulgarian	L2	0.6914547243774295	0.001972078698050508	1242
Barque	Tamil	L2	0.6686762778505907	0.0026031266370745362	763
Glenfarclas	English (American)	L1	0.6898501590490538	0.004013875327365545	362
Chasint	English - England	L1	0.6541666666666666	0.009976571528258095	120
Thomas Tompion	English - England	L1	0.6715785446012102	0.0011644840266928347	5161
Uncle Jack	British English	L1	0.6769451697127961	0.0016922366913775491	1532
Miss Julie	English-U.S.	L1	0.6758823529411764	0.01923268555796684	17
GreenWhiteBlue	USA - English	L1	0.659136968656082	0.0014587499491012174	2329
VicNicSor	Russian	L2	0.6935583465625217	0.00182499474941261	2157
Harry Batt	USA English	L1	0.6949070631970258	0.0039368219141625825	269
Forero	USA English	L1	0.6029378902398966	0.0016781253650424656	3043
Glasguensis	English - Scotland	L1	0.6633798882681559	0.003612632189184387	358
Keith Bradford	English (Midlands UK)	L1	0.6960621326616292	0.002407197946399959	1191
MattiasNYC	Swedish	L2	0.6890434782608691	0.003165452662952443	345
Cagey	English - US	L1	0.6671438922330254	0.001053284867318054	4712
la grive solitaire	United States, English	L1	0.7066666666666666	0.03041381265149111	9
london calling	UK ENGLISH	L1	0.674334097275274	0.004520290472505757	357
Delvo	American English	L1	0.7037681159420289	0.003970284082817326	230
Biffo	English - England	L1	0.6760621242484983	0.0026816294831503123	998
JustKate	English - US	L1	0.6974706649282941	0.001435750618691672	1534
SevenDays	Spanish	L2	0.6434547152194212	0.002208614716122574	1071
Enquiring Mind	English - the Queen's	L1	0.6731830685759643	0.0026616569825755995	929
Trochfa	English - England	L1	0.7117677642980932	0.0024458540930840655	577
bennymix	English (American).	L1	0.7204913430042151	0.001573903811202931	2137
pob14	American English	L1	0.6973293768545993	0.003608220667671885	337
Parla	English - US	L1	0.6952564102564097	0.002199717313805612	1014
Hildy1	English - US and Canada	L1	0.6370652173913045	0.009442837356463247	92
Copyright	American English	L1	0.6945231768526772	0.001352741596827392	3387
se16teddy	English - England	L1	0.6624717407686512	0.0027819398161457857	1327
Wishfull	jp	L2	0.6431914893617026	0.005883838532470098	188
Giorgio Spizzi	Italian	L2	0.6724277456647397	0.0047114624028043095	346
Alxmrphi	UK English	L1	0.7042507204610957	0.002231809941696069	694
Hermione Golightly	British English	L1	0.7160856473737109	0.0011900012254866172	2989
jacinta	USA English	L1	0.6665789473684212	0.008100333798765251	38
Artrella	Spanish-Argentina	L2	0.7146153846153845	0.012320758920784724	39
rhitagawr	British English	L1	0.6712302070645556	0.0023723328932725224	821
Greyfriar	British English	L1	0.6728124999999999	0.016078401505114786	32
Dimcl	Canadian English	L1	0.6582817869415815	0.002500938451711542	873
LV4-26	France French	L2	0.7120081135902636	0.0030449503583550508	493
Elwintee	England English	L1	0.6841702127659574	0.004747321851963238	235
Cenzontle	English, U.S.	L1	0.6690953947368415	0.0027629836190050244	608
bibliolept	AE, Español	L2	0.6860285714285712	0.0038979824270935	350
Sparky Malarky	English - US	L1	0.6576096181046668	0.0029009242094773196	707
Beryl from Northallerton	British English	L1	0.69040989606207	0.0035856934673438074	621
xqby	English (U.S.)	L1	0.6907339449541287	0.007336050861064524	109
Gwan	New Zealand, English	L1	0.7026582278481011	0.004144258524514284	237
timtfj	UK English	L1	0.6257575757575758	0.012968714562056753	33
Rover_KE	British English	L1	0.7143333333333335	0.021143643012658517	30
Askalon	English (US)	L1	0.6642000000000001	0.008595632493259798	50
a little edgy	English	L1	0.6840576496674051	0.002948414584860987	451
Aardvark01	British English (Midlands)	L1	0.6689577464788732	0.004548627973515892	355
Sharifa345	US English, DR Spanish	L1	0.6355555555555557	0.027794439447442195	9
MissFit	English, U.S.	L1	0.6766666666666667	0.012934511482912194	21
nzfauna	New Zealand, English	L1	0.6642187500000003	0.010058866142385854	64
srk	English - US	L1	0.6453333333333328	0.004383954824118401	330
brian	AmE (New Orleans)	L2	0.6631693989071045	0.003293954527950362	549
wandle	English - British	L1	0.6580765957446865	0.0015078637569638513	2350
elroy	US English/Palestinian Arabic bilingual	L1	0.6579999999999997	0.0047994602017692135	280
cropje_jnr	English - Australia	L1	0.6832911392405068	0.008011922143238773	79
WyomingSue	English--USA	L1	0.7103174603174601	0.008772508184365781	63
morior_invictus	Slovak	L2	0.6696800000000003	0.007953847516930445	125
JamesM	English, USA	L1	0.666391861784293	0.0014075698264676903	2956
Thomas1	polszczyzna warszawska	L2	0.6907436246836677	0.0036894197119358104	467
morzh	Russian	L2	0.7029919888540577	0.006674098848768275	116
James Brandon	English + French - UK	L1	0.7061380597014925	0.0023896381080167456	536
MirandaEscobedo	British English	L1	0.6953658536585363	0.007144558707105562	82
EStjarn	Spanish	L2	0.683734290843806	0.0022304802761196124	1114
mplsray	English, USA	L1	0.6715800865800869	0.002114804342552625	924
manfy	German - Austria	L2	0.7150210084033611	0.002997197415611238	476
envie de voyager	english-canadian	L1	0.588888888888889	0.01256059155789183	54
MateuszMoś	Polish	L2	0.6983333333333336	0.012891220845180922	24
Majorbloodnock	British English	L1	0.7039766081871349	0.005617971759312523	171
Bondstreet	English (UK)	L1	0.6317475728155341	0.008841549093698494	103
Fabulist	American English	L1	0.6691604010025082	0.0017586784318070526	1596
maxiogee	imithe	L2	0.6789655172413793	0.011299930282543589	58
tepatria	Canadian English	L1	0.6646341463414633	0.011603708201321497	41
lucas-sp	English - Californian	L1	0.6790356265356278	0.0018966764453180558	1628
exgerman	English but my first language was German	L1	0.644235294117647	0.008294942049340148	85
Matching Mole	England, English	L1	0.6806866666666682	0.0015662939483495949	1500
anthox	English - Northeast US	L1	0.6807692307692306	0.009049245836788946	52
Smauler	British English	L1	0.6561904761904762	0.02764981865501705	21
airportzombie	English - CaE/AmE	L1	0.670153846153846	0.01175162081229548	65
quillerbee	Canadian English	L1	0.6754166666666664	0.00980283616749326	48
tomandjerryfan	English (Canada)	L1	0.6364705882352941	0.028555173329458755	17
cycloneviv	English - Australia	L1	0.6796868008948542	0.003651206325582328	447
xiaolijie	English (UK)	L1	0.6345454545454545	0.024803358876778113	11
Tazzler	American English	L1	0.6771874999999998	0.007030505913009189	64
