speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
Cypherpunk	US, English	L1	0.66	0.0	1.0	to_L1
Cypherpunk	US, English	L1	0.5599999999999999	0.03403429642777022	3.0	to_L2
AngelEyes	English - United States	L1	0.5974999999999999	0.007500000000000006	2.0	to_L1
AngelEyes	English - United States	L1	0.63	0.0	1.0	to_L2
Dale Texas	English USA	L1	0.625	0.0	1.0	to_L1
Dale Texas	English USA	L1	0.6212500000000001	0.0121406685702779	4.0	to_L2
mjscott	American English	L1	0.67	0.0	1.0	to_L1
mjscott	American English	L1	0.51	0.035000000000000024	2.0	to_L2
sandpiperlily	English -- USA	L1	0.56	0.0	1.0	to_L1
sandpiperlily	English -- USA	L1	0.525	0.030482235263619806	4.0	to_L2
Æsop	English--American (upstate NY)	L1	0.47	0.0	1.0	to_L1
Æsop	English--American (upstate NY)	L1	0.5716666666666667	0.020480342879074173	3.0	to_L2
Waylink	English (British)	L1	0.6074999999999999	0.017500000000000012	2.0	to_L1
Waylink	English (British)	L1	0.5291666666666667	0.03047995698451325	6.0	to_L2
kitenok	English - US	L1	0.535	0.0	1.0	to_L1
kitenok	English - US	L1	0.53	0.0	1.0	to_L2
Prairiefire	US (Midwest) - English	L1	0.625	0.0	1.0	to_L1
Prairiefire	US (Midwest) - English	L1	0.615	0.0	1.0	to_L2
watercanyon	USA/English	L1	0.485	0.0	1.0	to_L1
watercanyon	USA/English	L1	0.585	0.0	1.0	to_L2
Jim2996	American English	L1	0.545	0.0	1.0	to_L1
Jim2996	American English	L1	0.575	0.054999999999999986	2.0	to_L2
