message_id	ttr	speaker	lang	ltype
post7598949	0.61	The WR Moderator Team	English	L2
post3309541	0.73	The WR Moderator Team	English	L2
post5286865	0.71	The WR Moderator Team	English	L2
post5286866	0.77	The WR Moderator Team	English	L2
post5743368	0.66	The WR Moderator Team	English	L2
post3313038	0.78	The WR Moderator Team	English	L2
post3313058	0.76	The WR Moderator Team	English	L2
post14550492	0.64	The WR Moderator Team	English	L2
post18058852	0.66	OLN	French - France,  ♀	L1
post18057499	0.74	totor	Castellano rioplatense	L2
post18057743	0.75	totor	Castellano rioplatense	L2
post18057773	0.77	Nanon	français (France)	L1
post18051002	0.8	Nanon	français (France)	L1
post18056343	0.63	Bezoard	French - France	L1
post18054043	0.83	simenon	italien	L2
post18052165	0.65	Maître Capello	French – Switzerland	L1
post18050977	0.76	Nanon	français (France)	L1
post18055463	0.75	Swatters	French - Belgium, some Wallo-Picard	L1
post18052445	0.77	Nanon	français (France)	L1
post18050661	0.77	nicduf	français	L1
post7044660	0.76	Chimel	Français	L1
post7047099	0.81	Chimel	Français	L1
post7049511	0.85	TitTornade	French - France	L1
post18048996	0.78	Piotr Ivanovitch	France	L1
post18048520	0.82	sesame_fr11	Chinese	L2
post17693176	0.71	Áskera	Spanish - Puerto Rico	L2
post18045924	0.79	aitonnudieu	Vietnamien	L2
post1737398	0.64	voyager_ds_l'francais	francais, Canada	L1
post1740485	0.74	CABEZOTA	french	L1
post18045427	0.61	Maître Capello	French – Switzerland	L1
post18042333	0.73	simenon	italien	L2
post18043189	0.82	In-Su	Fr. French	L1
post18043474	0.75	Piotr Ivanovitch	France	L1
post18042409	0.78	dindin297	Français	L1
post18044677	0.72	gabbribeiro	Brazilian Portuguese	L2
post18043984	0.69	Maître Capello	French – Switzerland	L1
post18041857	0.75	nicduf	français	L1
post18040316	0.67	nicduf	français	L1
post18041136	0.72	chatkigazouille	Indonesian	L2
post18041897	0.73	nicduf	français	L1
post8819713	0.81	hirondelled'hiver	france	L1
post8823985	0.78	hirondelled'hiver	france	L1
post8825227	0.71	CapnPrep	AmE	L2
post8825724	0.73	hirondelled'hiver	france	L1
post9094449	0.63	OLN	French - France,  ♀	L1
post18041114	0.64	Nalf	French	L1
post18041370	0.85	SergueiL	Français	L1
post18040672	0.72	primalamusica	German Germany	L2
post18039052	0.78	Nanon	français (France)	L1
post18040382	0.64	Maître Capello	French – Switzerland	L1
post18036393	0.76	sesame_fr11	Chinese	L2
post18039342	0.76	primalamusica	German Germany	L2
post18034080	0.69	aitonnudieu	Vietnamien	L2
post18036935	0.78	aitonnudieu	Vietnamien	L2
post18036958	0.73	nicduf	français	L1
post17238392	0.74	plantin	français	L1
post17238630	0.4	Maître Capello	French – Switzerland	L1
post17239698	0.74	k@t	Français de France	L1
post17239856	0.68	k@t	Français de France	L1
post17240063	0.68	plantin	français	L1
post17240257	0.74	k@t	Français de France	L1
