message_id	ttr	speaker	lang	ltype
post18034893	0.82	simenon	italien	L2
post18034357	0.78	sesame_fr11	Chinese	L2
post18033525	0.73	Bezoard	French - France	L1
post18033546	0.63	Nanon	français (France)	L1
post18033411	0.75	Bezoard	French - France	L1
post2066383	0.83	DearPrudence	French (lower Normandy)	L1
post2087694	0.73	Clothaire	Suisse	L2
post12368413	0.74	Caribou88	English - Canada	L2
post18030477	0.75	aitonnudieu	Vietnamien	L2
post18029062	0.7	OLN	French - France,  ♀	L1
post18029632	0.76	OLN	French - France,  ♀	L1
post18029295	0.67	Maître Capello	French – Switzerland	L1
post18027030	0.75	friasc	English-Spanish	L2
post18020842	0.74	iuytr	french	L1
post18026336	0.7	eleve	Telugu	L2
post18018691	0.79	GuiliuG	French	L1
post18019842	0.54	Maître Capello	French – Switzerland	L1
post18024513	0.77	GuiliuG	French	L1
post18024523	0.54	Maître Capello	French – Switzerland	L1
post12692044	0.63	franglaiise	slovaque	L2
post2740793	0.69	gvergara	Español	L2
post2827703	0.71	gvergara	Español	L2
post2958989	0.78	gvergara	Español	L2
post7338459	0.75	Ian Tenor	English UK	L2
post10525886	0.65	Maître Capello	French – Switzerland	L1
post13710259	0.59	Logospreference-1	français	L1
post13711119	0.75	Logospreference-1	français	L1
post18020988	0.76	CamilleWR	French	L1
post18021381	0.69	aayrer	english	L2
post18021428	0.8	aayrer	english	L2
post18018318	0.64	Gemmenita	Azéri	L2
post18020193	0.8	aitonnudieu	Vietnamien	L2
post18019873	0.74	Yendred	Français - France	L1
post18018016	0.64	Maître Capello	French – Switzerland	L1
post18017752	0.67	OLN	French - France,  ♀	L1
post18017510	0.74	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1
post18016249	0.73	sésameouvretoi	chinois	L2
post18015580	0.37	FR-ES	Français	L1
post18015892	0.71	Maître Capello	French – Switzerland	L1
post18016122	0.76	Maître Capello	French – Switzerland	L1
post18016274	0.77	FR-ES	Français	L1
post18016625	0.75	Maître Capello	French – Switzerland	L1
post18011717	0.77	Graine de Moutarde	American English	L2
post18014867	0.77	Gemmenita	Azéri	L2
post18013186	0.39	Stella_13	Irlandais ( Irlande )	L2
post18010760	0.81	Maître Capello	French – Switzerland	L1
post18007478	0.63	Stella_13	Irlandais ( Irlande )	L2
post18007608	0.54	Maître Capello	French – Switzerland	L1
post18011054	0.75	aitonnudieu	Vietnamien	L2
post18007956	0.75	abuhisham	arabe	L2
post18003526	0.71	Swatters	French - Belgium, some Wallo-Picard	L1
post18004849	0.76	Chimel	Français	L1
post18008950	0.72	J.F. de TROYES	francais-France	L1
post17996261	0.76	much_rice	English - American	L2
post18001239	0.65	Maître Capello	French – Switzerland	L1
post1872009	0.65	bwex562	italian, italy	L2
post1872218	0.5	Calamitintin	France, St Maix les bains, 79	L1
post1872727	0.75	CABEZOTA	french	L1
post1873364	0.75	CABEZOTA	french	L1
post18000946	0.69	Fish-custard	English, UK	L2
post17998784	0.54	Maître Capello	French – Switzerland	L1
post17999106	0.59	French guy	French - France	L1
post15619092	0.82	cellostrad	français de France	L1
post15619206	0.75	SergueiL	Français	L1
post16884929	0.84	chinoisautodidacte	chinois	L2
post17996459	0.77	Anemona61	Serbian, Serbia	L2
post7213781	0.53	itka	français	L1
post7271466	0.69	Chimel	Français	L1
post9196052	0.68	RaZias	Portuguese - Portugal	L2
post10967626	0.57	Marie3933	français	L1
post10969083	0.72	Marie3933	français	L1
post10969489	0.66	itka	français	L1
post10970305	0.77	Marie3933	français	L1
post10970861	0.83	CapnPrep	AmE	L2
post10972825	0.78	itka	français	L1
post10973207	0.86	Marie3933	français	L1
post10973272	0.71	Maître Capello	French – Switzerland	L1
post10973756	0.74	Maître Capello	French – Switzerland	L1
post10974376	0.83	Marie3933	français	L1
post10974679	0.75	CapnPrep	AmE	L2
post10974822	0.72	Maître Capello	French – Switzerland	L1
post17680451	0.74	gstorto	Portuguese	L2
post17681314	0.55	Maître Capello	French – Switzerland	L1
post17997591	0.74	Nanon	français (France)	L1
post17996687	0.68	Maître Capello	French – Switzerland	L1
post17992272	0.73	simenon	italien	L2
post7738882	0.74	tilt	French French	L1
post7959102	0.55	tilt	French French	L1
post14137561	0.82	Etoile39	USA, English	L2
post14138133	0.64	SergueiL	Français	L1
post15482165	0.77	tilt	French French	L1
post15483310	0.77	Roméo31	français - France	L1
post15483999	0.7	Nicomon	Français, Québec ♀	L1
post15625765	0.54	Logospreference-1	français	L1
post15651399	0.76	limettier	Español Chile	L2
post17203973	0.68	Nicomon	Français, Québec ♀	L1
post17204134	0.64	Nicomon	Français, Québec ♀	L1
post17993904	0.8	nicduf	français	L1
post17987507	0.55	Cigaloune	French (France)	L1
post972775	0.61	CARNESECCHI	French / France	L1
post2958900	0.79	gvergara	Español	L2
post2959232	0.58	josepbadalona	France/français	L1
post3700926	0.74	Lady Albicocca	french (France)	L1
post4320956	0.76	Punky Zoé	France - français	L1
post4322180	0.6	Maître Capello	French – Switzerland	L1
post4403335	0.7	papillonnette	United States - U.S. English	L2
post8462468	0.6	Lacuzon	French - France	L1
post8462995	0.6	Lacuzon	French - France	L1
post15125376	0.73	greenale90	Italian	L2
post15626135	0.63	Anna-chonger	Chinese	L2
post15644845	0.69	Maître Capello	French – Switzerland	L1
post17579733	0.8	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1
post17580690	0.64	k@t	Français de France	L1
post17585925	0.72	k@t	Français de France	L1
post17586960	0.66	k@t	Français de France	L1
post17589665	0.6	k@t	Français de France	L1
post17988941	0.67	TristánFarias	Español	L2
post2330302	0.76	chics	Catalan - Spanish	L2
post2331615	0.79	itka	français	L1
post17987851	0.72	nicduf	français	L1
post17985843	0.74	iuytr	french	L1
post17987224	0.72	iuytr	french	L1
post17986418	0.75	Yendred	Français - France	L1
post17985967	0.74	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1
post17984073	0.71	simenon	italien	L2
post17984116	0.8	nicduf	français	L1
post17985842	0.78	simenon	italien	L2
post17983989	0.62	Amaryl	French	L1
post17984000	0.72	Maître Capello	French – Switzerland	L1
post2324449	0.67	Aupick	UK, English	L2
post2324696	0.77	LV4-26	France French	L1
post2325416	0.74	Aupick	UK, English	L2
post2384978	0.62	CABEZOTA	french	L1
post17982056	0.62	Maître Capello	French – Switzerland	L1
post17979837	0.77	simenon	italien	L2
post17980433	0.78	nicduf	français	L1
post2538214	0.8	J.F. de TROYES	francais-France	L1
post3890089	0.67	jaro59	Switzerland, German, Polish	L2
post9626445	0.68	proyoyo	French - Cantonese	L1
post9628838	0.67	Gwynplaine	French	L1
post9743579	0.64	proyoyo	French - Cantonese	L1
post9744024	0.77	proyoyo	French - Cantonese	L1
post9746004	0.77	Maître Capello	French – Switzerland	L1
post17977369	0.73	simenon	italien	L2
post17970783	0.71	sesame_fr11	Chinese	L2
post13510510	0.66	DearPrudence	French (lower Normandy)	L1
post13510521	0.61	Marie3933	français	L1
post13511293	0.67	DearPrudence	French (lower Normandy)	L1
post17970453	0.65	Betomay	Español	L2
post17970583	0.4	Cigaloune	French (France)	L1
post17965811	0.64	OLN	French - France,  ♀	L1
post17974422	0.78	olivier68	French Paris France	L1
post17974572	0.73	Maître Capello	French – Switzerland	L1
post17972421	0.81	aitonnudieu	Vietnamien	L2
post17973343	0.62	olivier68	French Paris France	L1
post17970594	0.78	Cigaloune	French (France)	L1
post17973280	0.71	simenon	italien	L2
post17973194	0.67	Yendred	Français - France	L1
post17973281	0.63	Maître Capello	French – Switzerland	L1
post17968392	0.78	Shuri	chinese	L2
post14886072	0.66	Roméo31	français - France	L1
post17968355	0.79	pascalfor	Français - arpitan	L1
post12892803	0.66	snarkhunter	French - France	L1
post13366735	0.71	Susana Nani	Español	L2
post15767804	0.7	janpol	France - français	L1
post16695602	0.77	plantin	français	L1
post17965781	0.75	simenon	italien	L2
post17966860	0.72	Áskera	Spanish - Puerto Rico	L2
post17966348	0.52	D118	English - Canada	L2
post17966384	0.57	Maître Capello	French – Switzerland	L1
post17964457	0.8	sanne78	Dutch	L2
post17966168	0.72	OLN	French - France,  ♀	L1
post17965856	0.66	OLN	French - France,  ♀	L1
post17965632	0.76	nicduf	français	L1
post17963287	0.66	salah94	Arabe	L2
post17963921	0.58	JClaudeK	Français France;       Deutsch (SW-Dtl.)	L1
post3676947	0.72	Areyou Crazy	England English speaker	L2
post8057741	0.57	tilt	French French	L1
post13830497	0.77	Vixounet	Français	L1
post13833408	0.75	Vixounet	Français	L1
post13833443	0.76	mattman0un3t	Français	L1
post13833501	0.56	Vixounet	Français	L1
post17962591	0.74	MarinaK	Italiano	L2
post17957113	0.8	Monicaallred	Portuguese - Brazil	L2
post17960085	0.44	Maître Capello	French – Switzerland	L1
post7930962	0.75	joEmon	Corsu, français (France Sud)	L1
post7935907	0.78	tilt	French French	L1
post7939471	0.77	joEmon	Corsu, français (France Sud)	L1
post7939790	0.71	Chimel	Français	L1
post13082943	0.68	Mumus09	French	L1
post13083002	0.63	Mumus09	French	L1
post17930018	0.75	Áskera	Spanish - Puerto Rico	L2
post17931217	0.56	ancenis	français/France	L1
post17957457	0.8	pascalfor	Français - arpitan	L1
post17943647	0.5	Maître Capello	French – Switzerland	L1
post17944680	0.73	salah94	Arabe	L2
post17954020	0.76	Cigaloune	French (France)	L1
post17954855	0.78	salah94	Arabe	L2
post17954927	0.75	Cigaloune	French (France)	L1
post17955740	0.74	salah94	Arabe	L2
post17957216	0.75	Cigaloune	French (France)	L1
post17956073	0.76	pascalfor	Français - arpitan	L1
post3510298	0.72	geostan	English Canada	L2
post4239884	0.7	janpol	France - français	L1
post4240122	0.49	Maître Capello	French – Switzerland	L1
post4241099	0.74	janpol	France - français	L1
post4243770	0.69	Jeanbar	France	L1
post6929005	0.67	muycuriosa	German, Germany	L2
post6929996	0.54	TitTornade	French - France	L1
post6930951	0.76	Donaldos	French - France	L1
post7897078	0.67	nasti	Polish	L2
post7897750	0.68	Chimel	Français	L1
post7897780	0.8	tilt	French French	L1
post12645577	0.84	benpsalto	français	L1
post12732435	0.61	franglaiise	slovaque	L2
post12732777	0.66	Logospreference-1	français	L1
post13301034	0.65	-chocolatine-	allemand	L2
post13303201	0.72	-chocolatine-	allemand	L2
post15134082	0.72	DeManchuria	Chinese	L2
post16794783	0.75	frenglishguy	Korean	L2
post16795046	0.51	Maître Capello	French – Switzerland	L1
post17452030	0.64	Michelvar	French from France	L1
post17453258	0.64	Maître Capello	French – Switzerland	L1
post17458713	0.73	k@t	Français de France	L1
post17954033	0.64	Cigaloune	French (France)	L1
post17954000	0.79	Cigaloune	French (France)	L1
post17952955	0.76	Lacuzon	French - France	L1
post17948930	0.7	g21	Portuguese	L2
post14572274	0.57	naolinco	français- Belgique	L1
post17937018	0.81	g21	Portuguese	L2
post17945294	0.6	Maître Capello	French – Switzerland	L1
post17945053	0.76	pascalfor	Français - arpitan	L1
post6444854	0.68	Maître Capello	French – Switzerland	L1
post17942810	0.81	gvergara	Español	L2
post4236226	0.77	Nicomon	Français, Québec ♀	L1
post13178530	0.77	Le Nordaméricain	NA English (Southern US/Appalachian)	L2
post17186307	0.81	Laodah	English - Canada	L2
post17186755	0.7	plantin	français	L1
post17187124	0.79	Nicomon	Français, Québec ♀	L1
post17187377	0.79	plantin	français	L1
post17187442	0.79	k@t	Français de France	L1
post17187565	0.72	plantin	français	L1
post17188423	0.8	plantin	français	L1
post17933536	0.73	plazbovo	francais	L1
post17933709	0.68	Nanon	français (France)	L1
post17934475	0.71	plazbovo	francais	L1
post17936440	0.69	Nanon	français (France)	L1
post17936666	0.75	plazbovo	francais	L1
post17938656	0.73	Nanon	français (France)	L1
post17938807	0.86	plazbovo	francais	L1
post17943607	0.68	k@t	Français de France	L1
post17943898	0.84	k@t	Français de France	L1
post17943995	0.75	k@t	Français de France	L1
post17944263	0.76	plazbovo	francais	L1
post17944293	0.8	ancenis	français/France	L1
post17944329	0.77	plazbovo	francais	L1
post17943489	0.77	gvergara	Español	L2
post12665883	0.83	vanves	Dutch	L2
post13694544	0.7	-chocolatine-	allemand	L2
post13950613	0.57	Lacuzon	French - France	L1
post17942843	0.84	gvergara	Español	L2
post17938883	0.8	aitonnudieu	Vietnamien	L2
post17941647	0.76	Piotr Ivanovitch	France	L1
post14559118	0.72	OLN	French - France,  ♀	L1
post17939451	0.79	jalousies	coreen	L2
post17939373	0.74	k@t	Français de France	L1
post17937869	0.8	OLN	French - France,  ♀	L1
post14584497	0.69	cpt frakas	French	L1
post14584727	0.68	cpt frakas	French	L1
post14585146	0.77	Maître Capello	French – Switzerland	L1
post17936917	0.8	simenon	italien	L2
post17934602	0.77	Maître Capello	French – Switzerland	L1
post17934657	0.73	jekoh	Fr - Fr	L2
post17934994	0.72	Maître Capello	French – Switzerland	L1
post17935252	0.76	jekoh	Fr - Fr	L2
post17934729	0.77	gvergara	Español	L2
post17933239	0.8	giuseppegg	Italian	L2
post17934058	0.74	g21	Portuguese	L2
post17906140	0.77	chatkigazouille	Indonesian	L2
post17907033	0.7	ancenis	français/France	L1
post17907620	0.64	Maître Capello	French – Switzerland	L1
post17927770	0.72	ancenis	français/France	L1
post17928426	0.76	Nicomon	Français, Québec ♀	L1
post17929106	0.7	danielc	French-Canada	L1
post17930946	0.68	ancenis	français/France	L1
post17929853	0.67	k@t	Français de France	L1
post15350757	0.68	airinargent	Spanish Chile	L2
post17928777	0.75	pcy0308	Korean	L2
post17928318	0.73	kodolokofr	German -  Germany	L2
post17922551	0.77	rallyebaba	français	L1
post17924371	0.43	Maître Capello	French – Switzerland	L1
post17928476	0.71	k@t	Français de France	L1
post3078995	0.71	Barre-tendre	Canada	L2
post3080183	0.71	itka	français	L1
post17926798	0.85	chatkigazouille	Indonesian	L2
post16405072	0.72	Nanon	français (France)	L1
post16406126	0.84	SergueiL	Français	L1
post16411852	0.83	thalaivi	Tamil	L2
post17923747	0.65	Fortunio	russian	L2
post17924322	0.65	Maître Capello	French – Switzerland	L1
post8550005	0.67	Quétaine	English & French - Canada	L1
post17923879	0.61	MrsL	Swedish - Finland	L2
post17918960	0.64	mohandachrouf1988	Kabyle	L2
post17923416	0.73	iuytr	french	L1
post17921285	0.86	bongbang	Thai	L2
post17921627	0.7	OLN	French - France,  ♀	L1
post17922353	0.72	ancenis	français/France	L1
post17922127	0.6	CHOCOLAT17	coréen	L2
post17918623	0.81	Seelewig	Spanish & Catalan	L2
post17177949	0.68	Gemmenita	Azéri	L2
post17918977	0.66	Armonyak	Arabic	L2
post3760969	0.75	Punky Zoé	France - français	L1
post14070649	0.8	Logospreference-1	français	L1
post17917811	0.65	ancenis	français/France	L1
post17914623	0.65	Kekepop	English - American - Californian	L2
post17915197	0.72	Maître Capello	French – Switzerland	L1
post17915984	0.77	Kekepop	English - American - Californian	L2
post17914153	0.72	Dide	Italian - Italy	L2
post17915271	0.74	lillan	Sweden, Swedish	L2
post4736008	0.76	itka	français	L1
post17914428	0.8	aitonnudieu	Vietnamien	L2
post17914524	0.81	g21	Portuguese	L2
post17905621	0.73	Dide	Italian - Italy	L2
post17868596	0.55	nanalafamille	Chinese	L2
post17869112	0.6	Maître Capello	French – Switzerland	L1
post17913341	0.58	Maître Capello	French – Switzerland	L1
post2647948	0.75	Carrie2	English, UK	L2
post6975780	0.77	geostan	English Canada	L2
post8660125	0.75	Chimel	Français	L1
post8661403	0.74	Me-K	french	L1
post8662492	0.75	Chimel	Français	L1
post8662965	0.71	Me-K	french	L1
post8663250	0.78	Chimel	Français	L1
post8664353	0.66	Me-K	french	L1
post8670529	0.57	Me-K	french	L1
post8674565	0.65	LV4-26	France French	L1
post17908958	0.84	aitonnudieu	Vietnamien	L2
post17907608	0.71	Yendred	Français - France	L1
post530198	0.8	xav	France	L1
post530238	0.78	xav	France	L1
post530242	0.81	Agnès E.	France, French	L1
post530302	0.86	xav	France	L1
post530397	0.72	Agnès E.	France, French	L1
post530777	0.84	Kelly B	USA English	L2
post678241	0.68	CARNESECCHI	French / France	L1
post2923809	0.8	CapnPrep	AmE	L2
post4479462	0.79	Thomas1	polszczyzna warszawska	L2
post6362667	0.69	Gwynplaine	French	L1
post17909238	0.58	Kekepop	English - American - Californian	L2
post7571682	0.71	Pierre Simon	English	L2
post7571954	0.72	Scampitrocui	French - Belgium	L1
post17823134	0.67	Little Chandler	español (ESP)	L2
post17824140	0.78	mattman0un3t	Français	L1
post17824306	0.76	Maître Capello	French – Switzerland	L1
post17906490	0.58	iuytr	french	L1
post17905757	0.83	Nanon	français (France)	L1
post1380146	0.7	Clayra	France	L1
post6007435	0.8	Little Chandler	español (ESP)	L2
post17313984	0.54	k@t	Français de France	L1
post17903624	0.81	Oddmania	French	L1
post17904756	0.78	Maître Capello	French – Switzerland	L1
post17905032	0.76	D118	English - Canada	L2
post11318084	0.7	kamilin1985	Español Colombiano	L2
post11318707	0.78	Nicomon	Français, Québec ♀	L1
post17904808	0.81	simenon	italien	L2
post17904179	0.72	Maître Capello	French – Switzerland	L1
post14304323	0.74	Logospreference-1	français	L1
post17901906	0.8	Nanon	français (France)	L1
post1566156	0.74	J.F. de TROYES	francais-France	L1
post6233503	0.64	Moity Jean	Français France Lille	L1
post6234170	0.64	Gwynplaine	French	L1
post17901948	0.76	Gerard Carbonnelle	français - Belgique	L1
post17902010	0.74	Maître Capello	French – Switzerland	L1
post2974667	0.71	dromer	Belgium : Dutch	L2
post3411416	0.72	Anne345	France	L1
post17898615	0.81	Áskera	Spanish - Puerto Rico	L2
post17901283	0.76	Nanon	français (France)	L1
post17900214	0.79	aitonnudieu	Vietnamien	L2
post17854463	0.76	Bezoard	French - France	L1
post17900421	0.74	ancenis	français/France	L1
post17895947	0.69	OLN	French - France,  ♀	L1
post17896140	0.69	Maître Capello	French – Switzerland	L1
post17898591	0.69	aitonnudieu	Vietnamien	L2
post17897130	0.72	k@t	Français de France	L1
post17898532	0.76	DearPrudence	French (lower Normandy)	L1
post17897233	0.77	ancenis	français/France	L1
post17897710	0.79	Bezoard	French - France	L1
post17897960	0.74	ancenis	français/France	L1
post17893520	0.77	WAMES.UY	Portuguese - Brazil	L2
post17896346	0.61	OLN	French - France,  ♀	L1
post15888720	0.73	Nicomon	Français, Québec ♀	L1
post17888342	0.71	k@t	Français de France	L1
post17890738	0.79	k@t	Français de France	L1
post17893750	0.78	ancenis	français/France	L1
post17895098	0.75	ancenis	français/France	L1
post17895132	0.84	Yendred	Français - France	L1
post17894910	0.8	Armonyak	Arabic	L2
post17894203	0.77	Yendred	Français - France	L1
post17892885	0.78	aitonnudieu	Vietnamien	L2
post17893506	0.61	Gemmenita	Azéri	L2
post17893919	0.81	Gemmenita	Azéri	L2
post17893856	0.78	OLN	French - France,  ♀	L1
post17892293	0.8	ancenis	français/France	L1
post17893620	0.75	OLN	French - France,  ♀	L1
post17893523	0.77	OLN	French - France,  ♀	L1
post17892686	0.62	Ana-Marija	Croatian	L2
post17893262	0.79	Armonyak	Arabic	L2
post17892656	0.73	ancenis	français/France	L1
post17892408	0.66	k@t	Français de France	L1
post17892167	0.78	Yendred	Français - France	L1
post17890290	0.73	ancenis	français/France	L1
post17886379	0.72	Yendred	Français - France	L1
post17890107	0.79	ancenis	français/France	L1
post17886113	0.79	ancenis	français/France	L1
post17889479	0.85	denis_2	French Canada	L1
post17889621	0.8	Maître Capello	French – Switzerland	L1
post17889492	0.86	gingischan	Hebrew	L2
post17308784	0.73	Áskera	Spanish - Puerto Rico	L2
post17316979	0.79	xmarabout	French - Belgium	L1
post17884753	0.69	Áskera	Spanish - Puerto Rico	L2
post17886958	0.82	k@t	Français de France	L1
post17887145	0.72	Yukia	catalan & spanish from Spain	L2
post17886915	0.8	Dide	Italian - Italy	L2
post17887708	0.73	OLN	French - France,  ♀	L1
post9725743	0.72	putakli	French - France	L1
post9726048	0.79	Chimel	Français	L1
post9726162	0.77	Ostaire	Français (France, Normandie)	L1
post17886792	0.75	aitonnudieu	Vietnamien	L2
post17880382	0.74	Dide	Italian - Italy	L2
post17884933	0.76	aitonnudieu	Vietnamien	L2
post17885933	0.79	ancenis	français/France	L1
post17886324	0.73	ancenis	français/France	L1
post17886192	0.73	Nanon	français (France)	L1
post2236025	0.78	CapnPrep	AmE	L2
post17885535	0.75	OLN	French - France,  ♀	L1
post17883887	0.77	k@t	Français de France	L1
post17884058	0.77	ancenis	français/France	L1
post17884743	0.79	k@t	Français de France	L1
post17885100	0.74	k@t	Français de France	L1
post14340700	0.62	Skorpions	French - France	L1
post17884829	0.69	ancenis	français/France	L1
post17882764	0.63	Eurekamy	Français - Arabe	L1
post17884227	0.72	Maître Capello	French – Switzerland	L1
post17884335	0.74	ancenis	français/France	L1
post10766870	0.74	IlEnAppert	Allemand	L2
post17883217	0.77	giuseppegg	Italian	L2
post17882802	0.74	ancenis	français/France	L1
post17881661	0.84	k@t	Français de France	L1
post17873825	0.66	ancenis	français/France	L1
post17874445	0.8	ancenis	français/France	L1
post17875858	0.72	Maître Capello	French – Switzerland	L1
post17876503	0.71	k@t	Français de France	L1
post17876645	0.64	ancenis	français/France	L1
post17876831	0.72	ancenis	français/France	L1
post17878472	0.61	k@t	Français de France	L1
post17880024	0.68	ancenis	français/France	L1
post17880591	0.82	ancenis	français/France	L1
post17880709	0.75	k@t	Français de France	L1
post17879819	0.52	D118	English - Canada	L2
post17878809	0.67	zapspan	English, USA (Southern California)	L2
post3056152	0.75	Maître Capello	French – Switzerland	L1
post3056637	0.66	Anne345	France	L1
post4949452	0.54	jdgamble	US, English	L2
post4949686	0.43	janpol	France - français	L1
post5637410	0.69	sneakergroove	Canada English	L2
post5932745	0.74	denis_2	French Canada	L1
post5933001	0.76	jdgamble	US, English	L2
post5937359	0.7	denis_2	French Canada	L1
post6168339	0.76	janpol	France - français	L1
post6176034	0.77	denis_2	French Canada	L1
post17683830	0.73	Blougouz	french-France	L1
post17877834	0.81	ancenis	français/France	L1
post17875326	0.73	Fortunio	russian	L2
post17875808	0.74	ancenis	français/France	L1
post17877325	0.68	OLN	French - France,  ♀	L1
post17877515	0.8	OLN	French - France,  ♀	L1
post17868813	0.69	Mlle Cassis	french	L1
post17866973	0.67	ancenis	français/France	L1
post14564568	0.78	cpt frakas	French	L1
post17860399	0.75	saquiwej	Hongrois	L2
post17860843	0.46	Maître Capello	French – Switzerland	L1
post17873099	0.77	saquiwej	Hongrois	L2
post17873953	0.78	Philippides	Français - France	L1
post15423090	0.62	Roméo31	français - France	L1
post14285890	0.46	ilie86	Italien	L2
post17871874	0.77	Bezoard	French - France	L1
post17872405	0.78	k@t	Français de France	L1
post17872237	0.79	Bezoard	French - France	L1
post17870368	0.66	OLN	French - France,  ♀	L1
post6100857	0.59	Fred_C	Français	L1
post17923640	0.78	OLN	French - France,  ♀	L1
post17871912	0.77	SergueiL	Français	L1
post17870977	0.69	chinoisautodidacte	chinois	L2
post17869960	0.65	aitonnudieu	Vietnamien	L2
post17868055	0.64	Dide	Italian - Italy	L2
post17867897	0.81	aliyoni	turkish	L2
post17868322	0.73	SergueiL	Français	L1
post17868952	0.77	ancenis	français/France	L1
post1535567	0.78	zaby	French	L1
post9577335	0.75	MissPlume	French	L1
post12359796	0.83	DearPrudence	French (lower Normandy)	L1
post12360568	0.74	Nicomon	Français, Québec ♀	L1
post17868772	0.76	ancenis	français/France	L1
post17868018	0.75	Dide	Italian - Italy	L2
post1646406	0.67	Francois114	French - France	L1
post1648301	0.81	CABEZOTA	french	L1
post17865118	0.7	simenon	italien	L2
post17864030	0.75	Dide	Italian - Italy	L2
post17863585	0.76	Mioche	Dutch	L2
post17864615	0.74	OLN	French - France,  ♀	L1
post17862565	0.48	Davidbak	coréen	L2
post17862634	0.81	Davidbak	coréen	L2
post17862885	0.81	Maître Capello	French – Switzerland	L1
post17863021	0.7	ancenis	français/France	L1
post17863484	0.69	janpol	France - français	L1
post17863757	0.79	Maître Capello	French – Switzerland	L1
post17862369	0.85	aitonnudieu	Vietnamien	L2
post17861737	0.65	JiPiJou	French	L1
post17858007	0.76	Gemmenita	Azéri	L2
post17858749	0.6	k@t	Français de France	L1
post17858840	0.75	Adimine	English - United Kingdom	L2
post17820261	0.79	Armonyak	Arabic	L2
post17859512	0.75	ancenis	français/France	L1
post17859172	0.65	ancenis	français/France	L1
post17858785	0.76	aitonnudieu	Vietnamien	L2
post17855405	0.81	aitonnudieu	Vietnamien	L2
post17855048	0.78	Armonyak	Arabic	L2
post17850206	0.75	Nanon	français (France)	L1
post17850301	0.71	RayanAlArabi	French, Arabic (Algeria)	L1
post17852819	0.69	Monicaallred	Portuguese - Brazil	L2
post17852989	0.72	Bezoard	French - France	L1
post17853823	0.71	Bezoard	French - France	L1
post17844675	0.71	Capitaine	American English, français de France	L1
post17845133	0.78	k@t	Français de France	L1
post17845445	0.74	k@t	Français de France	L1
post6174279	0.62	Germaine	Canada, French	L1
post11715419	0.69	Anne345	France	L1
